n;mae;;;;
606;0,386372731;;;;
607;0,382007211;;;;
608;0,385028487;;;;
609;0,387248178;;;;
610;0,393794581;;;;
611;0,394164123;;;;
612;0,400252367;;;;
613;0,406040806;;;;
614;0,409448268;;;;
615;0,415110263;;;;
616;0,409448268;;;;
617;0,408282228;;;;
618;0,409558725;;;;
619;0,41522072;;;;
620;0,409323149;;;;
621;0,414323448;;;;
622;0,41879606;;;;
623;0,423648231;;;;
624;0,418789001;;;;
625;0,418713633;;;;
626;0,418156349;;;;
627;0,416958486;;;;
628;0,407629981;;;;
629;0,412224506;;;;
630;0,420296908;;;;
631;0,418985206;;;;
632;0,414284437;;;;
633;0,409393787;;;;
634;0,404635361;;;;
635;0,409259006;;;;
636;0,407995528;;;;
637;0,412347176;;;;
638;0,412190304;;;;
639;0,410926875;;;;
640;0,410851719;;;;
641;0,401952725;;;;
642;0,401092788;;;;
643;0,410356768;;;;
644;0,419619329;;;;
645;0,419682632;;;;
646;0,414705254;;;;
647;0,410353606;;;;
648;0,405508038;;;;
649;0,414144407;;;;
650;0,422415418;;;;
651;0,422778531;;;;
652;0,41498666;;;;
653;0,415050387;;;;
654;0,423226865;;;;
655;0,431184256;;;;
656;0,42203515;;;;
657;0,423083299;;;;
658;0,413930248;;;;
659;0,422436059;;;;
660;0,42264184;;;;
661;0,422639988;;;;
662;0,421730704;;;;
663;0,421963361;;;;
664;0,422201733;;;;
665;0,423119444;;;;
666;0,414432183;;;;
667;0,41373581;;;;
668;0,412803931;;;;
669;0,411895915;;;;
670;0,412091916;;;;
671;0,413035033;;;;
672;0,413212071;;;;
673;0,413338313;;;;
674;0,403764414;;;;
675;0,404814111;;;;
676;0,403701094;;;;
677;0,403501921;;;;
678;0,4032603;;;;
679;0,403456231;;;;
680;0,402720022;;;;
681;0,412355806;;;;
682;0,421596357;;;;
683;0,421504729;;;;
684;0,421803364;;;;
685;0,412441394;;;;
686;0,422036499;;;;
687;0,412729407;;;;
688;0,403623493;;;;
689;0,393941372;;;;
690;0,391517668;;;;
691;0,397767448;;;;
692;0,395045641;;;;
693;0,39695743;;;;
694;0,394154413;;;;
695;0,402358934;;;;
696;0,408931217;;;;
697;0,406484158;;;;
698;0,405436839;;;;
699;0,411970878;;;;
700;0,414609418;;;;
701;0,42150489;;;;
702;0,428399982;;;;
703;0,427408402;;;;
704;0,436322021;;;;
705;0,440659965;;;;
706;0,436012916;;;;
707;0,433345861;;;;
708;0,435591432;;;;
709;0,433345861;;;;
710;0,435768794;;;;
711;0,443407579;;;;
712;0,433543392;;;;
713;0,424060136;;;;
714;0,414835127;;;;
715;0,414693221;;;;
716;0,41533763;;;;
717;0,415364791;;;;
718;0,414093164;;;;
719;0,404848689;;;;
720;0,405164128;;;;
721;0,403950157;;;;
722;0,402800442;;;;
723;0,402091409;;;;
724;0,411006999;;;;
725;0,419934008;;;;
726;0,420029526;;;;
727;0,421432564;;;;
728;0,430182425;;;;
729;0,420880174;;;;
730;0,411543325;;;;
731;0,411590597;;;;
732;0,419863508;;;;
733;0,420134367;;;;
734;0,428302467;;;;
735;0,427088495;;;;
736;0,436568871;;;;
737;0,43695178;;;;
738;0,437816122;;;;
739;0,445854234;;;;
740;0,446181009;;;;
741;0,454538519;;;;
742;0,454805567;;;;
743;0,445685543;;;;
744;0,436254141;;;;
745;0,436637066;;;;
746;0,441363767;;;;
747;0,442246013;;;;
748;0,447091582;;;;
749;0,439056194;;;;
750;0,430785455;;;;
751;0,433892188;;;;
752;0,434099618;;;;
753;0,435127672;;;;
754;0,427061117;;;;
755;0,418994574;;;;
756;0,420072277;;;;
757;0,423999767;;;;
758;0,428637269;;;;
759;0,420358528;;;;
760;0,429448337;;;;
761;0,426642232;;;;
762;0,424530648;;;;
763;0,424372192;;;;
764;0,425453808;;;;
765;0,425661719;;;;
766;0,433045826;;;;
767;0,428954654;;;;
768;0,421394221;;;;
769;0,417303049;;;;
770;0,417782764;;;;
771;0,418154497;;;;
772;0,422747186;;;;
773;0,427157813;;;;
774;0,428239921;;;;
775;0,430028368;;;;
776;0,423032045;;;;
777;0,431450229;;;;
778;0,43242681;;;;
779;0,441290837;;;;
780;0,433582978;;;;
781;0,431062122;;;;
782;0,423257549;;;;
783;0,413985934;;;;
784;0,414854325;;;;
785;0,415078025;;;;
