case_id;earliness_avg;true_avg_100;true_avg_1000;adaption_rate_avg;adapt_per_ep;costs_avg;cost_per_ep;rewards_avg;reward_per_ep;true_per_ep;position_adaptation_per_ep;case_length_per_ep;step_1_probability;step_2_probability;step_3_probability;step_4_probability;step_5_probability;step_6_probability;step_7_probability;step_8_probability;step_9_probability;step_10_probability;step_11_probability;step_12_probability;step_13_probability;step_14_probability;step_15_probability;step_16_probability;step_17_probability;step_18_probability;step_19_probability;step_20_probability;step_21_probability;step_22_probability;step_23_probability
404;0,589906797;0,465346535;0,338271605;0,752475248;1;0;0;0,026792871;0,095238095;False;1;7;0,089626208;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
405;0,594808757;0,465346535;0,339901478;0,752475248;1;0;0;0,038298139;0,019607843;True;5;17;0,060068812;0,058445238;0,058418505;0,061985377;0,058938462;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
406;0,590190521;0,475247525;0,341523342;0,742574257;0;0;0;0,063749508;1,5;True;-1;9;0,075715818;0,075007044;0,073642157;0,076046795;0,057509504;0,053646222;0,051746946;0,052483886;0,051597312;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
407;0,590319593;0,465346535;0,340686275;0,752475248;1;0;0;0,04856799;-0,033333333;False;6;15;0,089943044;0,073619522;0,075089134;0,085884765;0,080477118;0,063693784;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
408;0,588107541;0,475247525;0,342298289;0,752475248;1;0;0;0,054842443;-0,050724638;True;10;23;0,062592819;0,062273871;0,069263041;0,066533722;0,060446225;0,060818985;0,063671388;0,061291505;0,061288416;0,060849357;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
409;0,589277132;0,475247525;0,341463415;0,752475248;1;0;0;0,061259752;-0,233333333;False;12;15;0,056267582;0,054695841;0,067705169;0,060075745;0,052771825;0,053176381;0,053098124;0,054021675;0,05579555;0,053128935;0,054338742;0,051698316;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
410;0,586567268;0,465346535;0,340632603;0,752475248;1;0;0;0,066597677;-0,160869565;False;12;23;0,074669741;0,07399264;0,077744707;0,073844269;0,0732136;0,072391756;0,073880069;0,062611878;0,062079895;0,061171997;0,060890194;0,060495671;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
411;0,582266953;0,465346535;0,34223301;0,742574257;0;0;0;0,087674785;1,5;True;-1;7;0,070443638;0,067526966;0,064141601;0,058827516;0,057212643;0,063167378;0,055751029;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
412;0,581549217;0,465346535;0,343825666;0,742574257;1;0;0;0,09430756;-0,050724638;True;10;23;0,056519829;0,057749923;0,069740891;0,069655091;0,056703918;0,071109384;0,069464892;0,070630081;0,064559512;0,058846779;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
413;0,578028189;0,465346535;0,342995169;0,732673267;0;0;0;0,090842213;-1;False;-1;11;0,047335908;0,046363402;0,044956453;0,044179939;0,043248627;0,060350094;0,061602116;0,067344971;0,059614871;0,051890023;0,051334511;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
414;0,584424313;0,475247525;0,344578313;0,722772277;0;0;0;0,114421238;1,5;True;-1;7;0,071887955;0,071734771;0,064881951;0,045878682;0,040911004;0,039881118;0,039309591;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
415;0,58910397;0,475247525;0,34375;0,722772277;1;0;0;0,122925225;0,123188406;False;2;23;0,048249219;0,047986478;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
