case_id;earliness_avg;true_avg_100;true_avg_1000;adaption_rate_avg;adapt_per_ep;costs_avg;cost_per_ep;rewards_avg;reward_per_ep;true_per_ep;position_adaptation_per_ep;case_length_per_ep;step_1_probability;step_2_probability;step_3_probability;step_4_probability;step_5_probability;step_6_probability;step_7_probability;step_8_probability;step_9_probability;step_10_probability;step_11_probability;step_12_probability;step_13_probability;step_14_probability;step_15_probability;step_16_probability;step_17_probability;step_18_probability;step_19_probability;step_20_probability;step_21_probability;step_22_probability;step_23_probability;step_24_probability;step_25_probability;step_26_probability;step_27_probability;step_28_probability;step_29_probability;step_30_probability;step_31_probability;step_32_probability;step_33_probability;step_34_probability;step_35_probability;step_36_probability;step_37_probability;step_38_probability;step_39_probability;step_40_probability;step_41_probability;step_42_probability
3078;0,485709022;0,821782178;0,84015984;0,217821782;0;0;0;0,614740048;1;True;-1;2;0,004609578;0,001713133;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3079;0,48813409;0,831683168;0,84015984;0,207920792;0;0;0;0,633142975;1;True;-1;7;0,010580601;0,007322144;0,005186959;0,003814005;0,003008588;0,002305303;0,00191997;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3080;0,468423147;0,831683168;0,841158841;0,198019802;0;0;0;0,633725386;1;True;-1;2;0,004609578;0,001713133;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3081;0,471060594;0,831683168;0,841158841;0,207920792;1;0;0;0,631368007;0,761904762;True;10;21;0,013425558;0,011625578;0,012188827;0,011023739;0,01004626;0,020986997;0,028462868;0,034745876;0,032179989;0,027113128;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3082;0,471060594;0,831683168;0,841158841;0,207920792;0;0;0;0,631368007;1;True;-1;4;0,008156935;0,004508864;0,002656532;0,001761038;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3083;0,471060594;0,821782178;0,841158841;0,207920792;0;0;0;0,611566027;-1;False;-1;14;0,012642431;0,010330644;0,010218488;0,008748075;0,006855183;0,005535146;0,004623304;0,004035773;0,003484447;0,002938933;0,002572316;0,002231139;0,001899565;0,001688503;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3084;0,478739657;0,821782178;0,841158841;0,217821782;1;0;0;0,609783849;0,82;True;9;25;0,013687314;0,012077283;0,012906074;0,011887131;0,010146393;0,026942013;0,035817951;0,062217034;0,059082985;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3085;0,489005456;0,831683168;0,841158841;0,207920792;0;0;0;0,627761963;1;True;-1;4;0,008156935;0,004508864;0,002656532;0,001690868;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3086;0,467622395;0,841584158;0,841158841;0,198019802;0;0;0;0,647357672;1;True;-1;2;0,004609578;0,001713133;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3087;0,467622395;0,841584158;0,841158841;0,198019802;0;0;0;0,647357672;1;True;-1;4;0,008156935;0,004508864;0,002656532;0,001695989;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
