case_id;earliness_avg;true_avg_100;true_avg_1000;adaption_rate_avg;adapt_per_ep;costs_avg;cost_per_ep;rewards_avg;reward_per_ep;true_per_ep;position_adaptation_per_ep;case_length_per_ep;step_1_probability;step_2_probability;step_3_probability;step_4_probability;step_5_probability;step_6_probability;step_7_probability;step_8_probability;step_9_probability;step_10_probability;step_11_probability;step_12_probability;step_13_probability;step_14_probability;step_15_probability;step_16_probability;step_17_probability;step_18_probability;step_19_probability;step_20_probability;step_21_probability
675;0,588381263;0,633663366;0,383703704;0,356435644;0;0;0;0,643143855;1,5;True;-1;15;0,053036977;0,053247236;0,045897983;0,05189956;0,037393305;0,036841106;0,032802612;0,032542273;0,02920223;0,02279572;0,019467449;0,017648151;0,017365018;0,01709481;0,012487366;-1;-1;-1;-1;-1;-1
676;0,588381263;0,633663366;0,384615385;0,356435644;0;0;0;0,643143855;1,5;True;-1;9;0,049617577;0,044893105;0,041366421;0,03575518;0,031594202;0,026466856;0,022527462;0,020545254;0,0177774;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
677;0,588381263;0,623762376;0,384047267;0,356435644;0;0;0;0,61839138;-1;False;-1;15;0,05201393;0,053157669;0,051908299;0,067824692;0,089373901;0,051341467;0,076522991;0,050031766;0,043514095;0,043541532;0,047891855;0,039005201;0,040942334;0,041963115;0,030552227;-1;-1;-1;-1;-1;-1
678;0,592205143;0,633663366;0,384955752;0,346534653;0;0;0;0,631982739;1,5;True;-1;11;0,084739357;0,094686262;0,093963996;0,104049496;0,156201273;0,124974973;0,084381022;0,055611327;0,051757753;0,036342416;0,038787253;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
679;0,592205143;0,633663366;0,385861561;0,346534653;0;0;0;0,631982739;1,5;True;-1;13;0,137749672;0,041425016;0,041271612;0,0328747;0,036546469;0,028842278;0,027280612;0,023699213;0,021578263;0,025279069;0,025485877;0,021354062;0,019635342;-1;-1;-1;-1;-1;-1;-1;-1
680;0,592205143;0,633663366;0,386764706;0,346534653;0;0;0;0,631982739;1,5;True;-1;21;0,030143494;0,029149845;0,026146159;0,024578203;0,02353115;0,022506446;0,022381965;0,021537298;0,019608796;0,020439578;0,01917813;0,018211283;0,01785649;0,017520871;0,015883993;0,030216642;0,020882495;0,020183532;0,019939616;0,028148983;0,021927336
681;0,597684825;0,623762376;0,386196769;0,356435644;1;0;0;0,621369573;0,428070175;False;4;19;0,04386685;0,035558719;0,038265832;0,039741818;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
682;0,597684825;0,623762376;0,387096774;0,356435644;0;0;0;0,621369573;1,5;True;-1;9;0,050408568;0,040795546;0,038804807;0,023902923;0,021531459;0,019600777;0,018447801;0,017677356;0,01517573;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
683;0,609719517;0,623762376;0,387994143;0,346534653;0;0;0;0,635677474;1,5;True;-1;7;0,045575924;0,033363078;0,026980154;0,021384438;0,018772375;0,01619727;0,014724732;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
684;0,609719517;0,623762376;0,388888889;0,346534653;0;0;0;0,635677474;1,5;True;-1;19;0,049998984;0,043317746;0,03171185;0,029269204;0,029027039;0,026663432;0,029254314;0,027597526;0,030028755;0,025587257;0,025238249;0,02620887;0,037810024;0,03571526;0,023805669;0,021799933;0,021062048;0,024382899;0,016688624;-1;-1
685;0,603203227;0,623762376;0,389781022;0,346534653;1;0;0;0,635868546;0,152631579;True;17;19;0,029812651;0,029572701;0,027352387;0,025880884;0,024800524;0,023834784;0,023194969;0,022945486;0,021372868;0,020186672;0,019091979;0,019359212;0,017758394;0,01722518;0,016243214;0,025867412;0,024718946;-1;-1;-1;-1
686;0,614157168;0,633663366;0,390670554;0,336633663;0;0;0;0,650567708;1,5;True;-1;13;0,043665927;0,04477359;0,056460626;0,038476165;0,032492783;0,028337192;0,02551089;0,023143157;0,022863919;0,034697402;0,0291641;0,02722881;0,02475127;-1;-1;-1;-1;-1;-1;-1;-1
687;0,609457968;0,633663366;0,391557496;0,326732673;0;0;0;0,663261285;1,5;True;-1;13;0,050541554;0,054368038;0,048775878;0,044013012;0,041322701;0,031440608;0,03311424;0,030570503;0,023564039;0,021920295;0,019997643;0,021163575;0,018856218;-1;-1;-1;-1;-1;-1;-1;-1
688;0,615342257;0,633663366;0,39244186;0,336633663;1;0;0;0,652747377;0,438095238;True;4;21;0,133261725;0,09005715;0,071149394;0,0678031;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
689;0,593081588;0,623762376;0,391872279;0,336633663;1;0;0;0,650320663;0;False;14;15;0,030061528;0,032435942;0,039469831;0,043621045;0,032964364;0,035853453;0,028499678;0,03073342;0,027049977;0,021582019;0,022221511;0,017791379;0,019899702;0,020544363;-1;-1;-1;-1;-1;-1;-1
690;0,587733994;0,633663366;0,392753623;0,336633663;1;0;0;0,650740705;0,263636364;True;3;11;0,082478695;0,081493497;0,07999856;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
691;0,587733994;0,633663366;0,393632417;0,336633663;0;0;0;0,650740705;1,5;True;-1;9;0,042286854;0,047668681;0,03331171;0,022348845;0,021321423;0,018384786;0,017108722;0,015568718;0,013954615;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
692;0,589123413;0,643564356;0,394508671;0,346534653;1;0;0;0,662801911;0,218181818;True;4;11;0,058251332;0,097503297;0,120445117;0,068597309;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
